X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Cód__Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Tipo_Cal_1,Fallecid_1,Graves_1,Menos_Gr_1,Leves_1,Tipo,Servicio
-7848520.91301306,-3942258.0809434,620,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131150205,CAMINO NIDO DE AGUILAS,131150545,LOS ZORZALES, ,CAMINO NIDO DE AGUILAS - LOS ZORZALES,CAMINO NIDO DE AGUILAS @ LOS ZORZALES,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7848469.05065483,-3942075.58870016,621,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,3,TRAMO DE VIA CURVA VERTICAL,131150376,EL RODEO,131150205,CAMINO NIDO DE AGUILAS, ,CAMINO NIDO DE AGUILAS - EL RODEO,EL RODEO @ CAMINO NIDO DE AGUILAS,CONCRETO,0,1,0,0,BICICLETA,PARTICULAR
-7848417.13223384,-3942654.89838001,622,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131150542,LOS QUINCHEROS,131150564,MEDINA, ,LOS QUINCHEROS - MEDINA,LOS QUINCHEROS @ MEDINA,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
-7848166.41656575,-3943938.6783659,623,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131150412,FARELLONES NORTE, , ,13450,- FARELLONES NORTE,13450 FARELLONES NORTE,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7847906.79242492,-3944136.33533458,624,1,LO BARNECHEA,2016,1,13115,13,REGION METROPOLITANA,1,URBANA,3,TRAMO DE VIA CURVA VERTICAL,131150052,CAMINO A FARELLONES, , ,11000,- CAMINO A FARELLONES,11000 CAMINO A FARELLONES,CONCRETO,0,0,0,1,BICICLETA,PARTICULAR
-7891185.85123207,-3934301.66790733,625,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,3,TRAMO DE VIA CURVA VERTICAL,133020089,EL PELLIN, , ,100,- EL PELLIN,100 EL PELLIN,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7891073.1910126,-3933707.98668355,626,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,133020118,ISABEL RIQUELME,133020022,ARTURO PRAT, ,ARTURO PRAT - ISABEL RIQUELME,ISABEL RIQUELME @ ARTURO PRAT,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7889606.94009209,-3932689.62284989,627,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133020028,BARROS LUCO, , ,1715,- BARROS LUCO,1715 BARROS LUCO,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7889526.13333153,-3933486.64855886,628,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133020022,ARTURO PRAT, , ,1180,- ARTURO PRAT,1180 ARTURO PRAT,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7889508.01044355,-3932857.45801996,629,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133020028,BARROS LUCO, , ,29,- BARROS LUCO,29 BARROS LUCO,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-7889233.96415759,-3932867.60497015,630,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,2,RURAL,1,TRAMO DE VIA RECTA,133020209,PEDRO AGUIRRE CERDA, , ,1457,- PEDRO AGUIRRE CERDA,1457 PEDRO AGUIRRE CERDA,ASFALTO,0,0,0,1,BICICLETA,PARTICULAR
-7883035.24959704,-3926207.1316848,631,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,133020121,ITALIA, , ,100,- ITALIA,100 ITALIA,ASFALTO,0,0,1,0,BICICLETA,PARTICULAR
-7882634.36041456,-3927071.37759989,632,1,LAMPA,2016,1,13302,13,REGION METROPOLITANA,1,URBANA,14,CRUCE CON SEÑAL PARE,133020125,JOSE FILOMENO CIFUENTES,133020020,ARGENTINA, ,ARGENTINA - JOSE FILOMENO CIFUENTES,JOSE FILOMENO CIFUENTES @ ARGENTINA,ASFALTO,0,1,0,0,BICICLETA,PARTICULAR
-7881076.73510338,-3965184.43805985,633,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,1,URBANA,1,TRAMO DE VIA RECTA,131190869,EL CONQUISTADOR,131192375,NVA SAN MARTIN, ,EL CONQUISTADOR - NVA SAN MARTIN,EL CONQUISTADOR @ NVA SAN MARTIN,CONCRETO,0,0,0,0,BICICLETA,PARTICULAR
